"dep","prov","dist","cat_age","N"
"amazonas","bagua","aramango","60-69",481
"amazonas","bagua","aramango","70-79",332
"amazonas","bagua","aramango","80+",151
"amazonas","bagua","bagua","60-69",1532
"amazonas","bagua","bagua","70-79",753
"amazonas","bagua","bagua","80+",394
"amazonas","bagua","copallin","60-69",362
"amazonas","bagua","copallin","70-79",232
"amazonas","bagua","copallin","80+",99
"amazonas","bagua","el parco","60-69",93
"amazonas","bagua","el parco","70-79",66
"amazonas","bagua","el parco","80+",36
"amazonas","bagua","imaza","60-69",810
"amazonas","bagua","imaza","70-79",335
"amazonas","bagua","imaza","80+",109
"amazonas","bagua","la peca","60-69",466
"amazonas","bagua","la peca","70-79",269
"amazonas","bagua","la peca","80+",180
"amazonas","bongara","chisquilla","60-69",22
"amazonas","bongara","chisquilla","70-79",22
"amazonas","bongara","chisquilla","80+",4
"amazonas","bongara","churuja","60-69",14
"amazonas","bongara","churuja","70-79",16
"amazonas","bongara","churuja","80+",13
"amazonas","bongara","corosha","60-69",37
"amazonas","bongara","corosha","70-79",16
"amazonas","bongara","corosha","80+",11
"amazonas","bongara","cuispes","60-69",40
"amazonas","bongara","cuispes","70-79",44
"amazonas","bongara","cuispes","80+",15
"amazonas","bongara","florida","60-69",324
"amazonas","bongara","florida","70-79",204
"amazonas","bongara","florida","80+",123
"amazonas","bongara","jazan","60-69",507
"amazonas","bongara","jazan","70-79",311
"amazonas","bongara","jazan","80+",189
"amazonas","bongara","jumbilla","60-69",99
"amazonas","bongara","jumbilla","70-79",64
"amazonas","bongara","jumbilla","80+",30
"amazonas","bongara","recta","60-69",17
"amazonas","bongara","recta","70-79",15
"amazonas","bongara","recta","80+",13
"amazonas","bongara","san carlos","60-69",36
"amazonas","bongara","san carlos","70-79",25
"amazonas","bongara","san carlos","80+",21
"amazonas","bongara","shipasbamba","60-69",75
"amazonas","bongara","shipasbamba","70-79",57
"amazonas","bongara","shipasbamba","80+",30
"amazonas","bongara","valera","60-69",80
"amazonas","bongara","valera","70-79",44
"amazonas","bongara","valera","80+",41
"amazonas","bongara","yambrasbamba","60-69",267
"amazonas","bongara","yambrasbamba","70-79",164
"amazonas","bongara","yambrasbamba","80+",74
"amazonas","chachapoyas","asuncion","60-69",19
"amazonas","chachapoyas","asuncion","70-79",27
"amazonas","chachapoyas","asuncion","80+",10
"amazonas","chachapoyas","balsas","60-69",75
"amazonas","chachapoyas","balsas","70-79",39
"amazonas","chachapoyas","balsas","80+",23
"amazonas","chachapoyas","chachapoyas","60-69",1743
"amazonas","chachapoyas","chachapoyas","70-79",1205
"amazonas","chachapoyas","chachapoyas","80+",613
"amazonas","chachapoyas","cheto","60-69",37
"amazonas","chachapoyas","cheto","70-79",33
"amazonas","chachapoyas","cheto","80+",29
"amazonas","chachapoyas","chiliquin","60-69",41
"amazonas","chachapoyas","chiliquin","70-79",49
"amazonas","chachapoyas","chiliquin","80+",15
"amazonas","chachapoyas","chuquibamba","60-69",100
"amazonas","chachapoyas","chuquibamba","70-79",82
"amazonas","chachapoyas","chuquibamba","80+",63
"amazonas","chachapoyas","granada","60-69",24
"amazonas","chachapoyas","granada","70-79",23
"amazonas","chachapoyas","granada","80+",15
"amazonas","chachapoyas","huancas","60-69",67
"amazonas","chachapoyas","huancas","70-79",28
"amazonas","chachapoyas","huancas","80+",17
"amazonas","chachapoyas","la jalca","60-69",214
"amazonas","chachapoyas","la jalca","70-79",158
"amazonas","chachapoyas","la jalca","80+",62
"amazonas","chachapoyas","leimebamba","60-69",276
"amazonas","chachapoyas","leimebamba","70-79",174
"amazonas","chachapoyas","leimebamba","80+",94
"amazonas","chachapoyas","levanto","60-69",48
"amazonas","chachapoyas","levanto","70-79",38
"amazonas","chachapoyas","levanto","80+",29
"amazonas","chachapoyas","magdalena","60-69",63
"amazonas","chachapoyas","magdalena","70-79",47
"amazonas","chachapoyas","magdalena","80+",45
"amazonas","chachapoyas","mariscal castilla","60-69",121
"amazonas","chachapoyas","mariscal castilla","70-79",65
"amazonas","chachapoyas","mariscal castilla","80+",44
"amazonas","chachapoyas","molinopampa","60-69",113
"amazonas","chachapoyas","molinopampa","70-79",95
"amazonas","chachapoyas","molinopampa","80+",45
"amazonas","chachapoyas","montevideo","60-69",47
"amazonas","chachapoyas","montevideo","70-79",33
"amazonas","chachapoyas","montevideo","80+",21
"amazonas","chachapoyas","olleros","60-69",29
"amazonas","chachapoyas","olleros","70-79",23
"amazonas","chachapoyas","olleros","80+",8
"amazonas","chachapoyas","quinjalca","60-69",80
"amazonas","chachapoyas","quinjalca","70-79",42
"amazonas","chachapoyas","quinjalca","80+",31
"amazonas","chachapoyas","san francisco de daguas","60-69",38
"amazonas","chachapoyas","san francisco de daguas","70-79",29
"amazonas","chachapoyas","san francisco de daguas","80+",10
"amazonas","chachapoyas","san isidro de maino","60-69",32
"amazonas","chachapoyas","san isidro de maino","70-79",40
"amazonas","chachapoyas","san isidro de maino","80+",20
"amazonas","chachapoyas","soloco","60-69",96
"amazonas","chachapoyas","soloco","70-79",78
"amazonas","chachapoyas","soloco","80+",53
"amazonas","chachapoyas","sonche","60-69",16
"amazonas","chachapoyas","sonche","70-79",14
"amazonas","chachapoyas","sonche","80+",10
"amazonas","condorcanqui","el cenepa","60-69",344
"amazonas","condorcanqui","el cenepa","70-79",57
"amazonas","condorcanqui","el cenepa","80+",15
"amazonas","condorcanqui","nieva","60-69",607
"amazonas","condorcanqui","nieva","70-79",172
"amazonas","condorcanqui","nieva","80+",35
"amazonas","condorcanqui","rio santiago","60-69",321
"amazonas","condorcanqui","rio santiago","70-79",82
"amazonas","condorcanqui","rio santiago","80+",9
"amazonas","luya","camporredondo","60-69",292
"amazonas","luya","camporredondo","70-79",184
"amazonas","luya","camporredondo","80+",103
"amazonas","luya","cocabamba","60-69",92
"amazonas","luya","cocabamba","70-79",65
"amazonas","luya","cocabamba","80+",29
"amazonas","luya","colcamar","60-69",165
"amazonas","luya","colcamar","70-79",139
"amazonas","luya","colcamar","80+",69
"amazonas","luya","conila","60-69",121
"amazonas","luya","conila","70-79",73
"amazonas","luya","conila","80+",71
"amazonas","luya","inguilpata","60-69",55
"amazonas","luya","inguilpata","70-79",53
"amazonas","luya","inguilpata","80+",34
"amazonas","luya","lamud","60-69",161
"amazonas","luya","lamud","70-79",161
"amazonas","luya","lamud","80+",136
"amazonas","luya","longuita","60-69",60
"amazonas","luya","longuita","70-79",31
"amazonas","luya","longuita","80+",25
"amazonas","luya","lonya chico","60-69",70
"amazonas","luya","lonya chico","70-79",66
"amazonas","luya","lonya chico","80+",41
"amazonas","luya","luya","60-69",239
"amazonas","luya","luya","70-79",198
"amazonas","luya","luya","80+",152
"amazonas","luya","luya viejo","60-69",11
"amazonas","luya","luya viejo","70-79",21
"amazonas","luya","luya viejo","80+",9
"amazonas","luya","maria","60-69",52
"amazonas","luya","maria","70-79",32
"amazonas","luya","maria","80+",22
"amazonas","luya","ocalli","60-69",236
"amazonas","luya","ocalli","70-79",152
"amazonas","luya","ocalli","80+",85
"amazonas","luya","ocumal","60-69",210
"amazonas","luya","ocumal","70-79",165
"amazonas","luya","ocumal","80+",77
"amazonas","luya","pisuquia","60-69",246
"amazonas","luya","pisuquia","70-79",159
"amazonas","luya","pisuquia","80+",107
"amazonas","luya","providencia","60-69",87
"amazonas","luya","providencia","70-79",49
"amazonas","luya","providencia","80+",35
"amazonas","luya","san cristobal","60-69",35
"amazonas","luya","san cristobal","70-79",30
"amazonas","luya","san cristobal","80+",33
"amazonas","luya","san francisco del yeso","60-69",52
"amazonas","luya","san francisco del yeso","70-79",42
"amazonas","luya","san francisco del yeso","80+",28
"amazonas","luya","san jeronimo","60-69",56
"amazonas","luya","san jeronimo","70-79",66
"amazonas","luya","san jeronimo","80+",30
"amazonas","luya","san juan de lopecancha","60-69",21
"amazonas","luya","san juan de lopecancha","70-79",32
"amazonas","luya","san juan de lopecancha","80+",22
"amazonas","luya","santa catalina","60-69",93
"amazonas","luya","santa catalina","70-79",57
"amazonas","luya","santa catalina","80+",30
"amazonas","luya","santo tomas","60-69",230
"amazonas","luya","santo tomas","70-79",171
"amazonas","luya","santo tomas","80+",124
"amazonas","luya","tingo","60-69",65
"amazonas","luya","tingo","70-79",59
"amazonas","luya","tingo","80+",36
"amazonas","luya","trita","60-69",78
"amazonas","luya","trita","70-79",69
"amazonas","luya","trita","80+",32
"amazonas","rodriguez de mendoza","chirimoto","60-69",123
"amazonas","rodriguez de mendoza","chirimoto","70-79",61
"amazonas","rodriguez de mendoza","chirimoto","80+",38
"amazonas","rodriguez de mendoza","cochamal","60-69",36
"amazonas","rodriguez de mendoza","cochamal","70-79",30
"amazonas","rodriguez de mendoza","cochamal","80+",18
"amazonas","rodriguez de mendoza","huambo","60-69",277
"amazonas","rodriguez de mendoza","huambo","70-79",215
"amazonas","rodriguez de mendoza","huambo","80+",144
"amazonas","rodriguez de mendoza","limabamba","60-69",157
"amazonas","rodriguez de mendoza","limabamba","70-79",101
"amazonas","rodriguez de mendoza","limabamba","80+",67
"amazonas","rodriguez de mendoza","longar","60-69",136
"amazonas","rodriguez de mendoza","longar","70-79",107
"amazonas","rodriguez de mendoza","longar","80+",78
"amazonas","rodriguez de mendoza","mariscal benavides","60-69",128
"amazonas","rodriguez de mendoza","mariscal benavides","70-79",93
"amazonas","rodriguez de mendoza","mariscal benavides","80+",56
"amazonas","rodriguez de mendoza","milpuc","60-69",51
"amazonas","rodriguez de mendoza","milpuc","70-79",33
"amazonas","rodriguez de mendoza","milpuc","80+",26
"amazonas","rodriguez de mendoza","omia","60-69",381
"amazonas","rodriguez de mendoza","omia","70-79",218
"amazonas","rodriguez de mendoza","omia","80+",90
"amazonas","rodriguez de mendoza","san nicolas","60-69",381
"amazonas","rodriguez de mendoza","san nicolas","70-79",259
"amazonas","rodriguez de mendoza","san nicolas","80+",189
"amazonas","rodriguez de mendoza","santa rosa","60-69",47
"amazonas","rodriguez de mendoza","santa rosa","70-79",49
"amazonas","rodriguez de mendoza","santa rosa","80+",38
"amazonas","rodriguez de mendoza","totora","60-69",28
"amazonas","rodriguez de mendoza","totora","70-79",23
"amazonas","rodriguez de mendoza","totora","80+",18
"amazonas","rodriguez de mendoza","vista alegre","60-69",106
"amazonas","rodriguez de mendoza","vista alegre","70-79",38
"amazonas","rodriguez de mendoza","vista alegre","80+",14
"amazonas","utcubamba","bagua grande","60-69",2669
"amazonas","utcubamba","bagua grande","70-79",1540
"amazonas","utcubamba","bagua grande","80+",696
"amazonas","utcubamba","cajaruro","60-69",1443
"amazonas","utcubamba","cajaruro","70-79",840
"amazonas","utcubamba","cajaruro","80+",390
"amazonas","utcubamba","cumba","60-69",459
"amazonas","utcubamba","cumba","70-79",266
"amazonas","utcubamba","cumba","80+",157
"amazonas","utcubamba","el milagro","60-69",328
"amazonas","utcubamba","el milagro","70-79",183
"amazonas","utcubamba","el milagro","80+",85
"amazonas","utcubamba","jamalca","60-69",356
"amazonas","utcubamba","jamalca","70-79",243
"amazonas","utcubamba","jamalca","80+",118
"amazonas","utcubamba","lonya grande","60-69",525
"amazonas","utcubamba","lonya grande","70-79",291
"amazonas","utcubamba","lonya grande","80+",153
"amazonas","utcubamba","yamon","60-69",162
"amazonas","utcubamba","yamon","70-79",96
"amazonas","utcubamba","yamon","80+",51
"ancash","aija","aija","60-69",131
"ancash","aija","aija","70-79",123
"ancash","aija","aija","80+",71
"ancash","aija","coris","60-69",107
"ancash","aija","coris","70-79",98
"ancash","aija","coris","80+",80
"ancash","aija","huacllan","60-69",31
"ancash","aija","huacllan","70-79",11
"ancash","aija","huacllan","80+",21
"ancash","aija","la merced","60-69",139
"ancash","aija","la merced","70-79",119
"ancash","aija","la merced","80+",54
"ancash","aija","succha","60-69",70
"ancash","aija","succha","70-79",69
"ancash","aija","succha","80+",53
"ancash","antonio raymondi","aczo","60-69",108
"ancash","antonio raymondi","aczo","70-79",110
"ancash","antonio raymondi","aczo","80+",68
"ancash","antonio raymondi","chaccho","60-69",126
"ancash","antonio raymondi","chaccho","70-79",89
"ancash","antonio raymondi","chaccho","80+",51
"ancash","antonio raymondi","chingas","60-69",131
"ancash","antonio raymondi","chingas","70-79",109
"ancash","antonio raymondi","chingas","80+",84
"ancash","antonio raymondi","llamellin","60-69",229
"ancash","antonio raymondi","llamellin","70-79",178
"ancash","antonio raymondi","llamellin","80+",119
"ancash","antonio raymondi","mirgas","60-69",263
"ancash","antonio raymondi","mirgas","70-79",201
"ancash","antonio raymondi","mirgas","80+",92
